         377260 function calls (377141 primitive calls) in 0.178 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8757    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
    14001    0.002    0.000    0.002    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/locks.py:90(acquire)
        1    0.000    0.000    0.002    0.002 /Users/pasha/PycharmProjects/IMHexMCP/lib/data_compression.py:123(_init_zlib)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/bisect.py:1(<module>)
    14001    0.001    0.000    0.001    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/locks.py:144(_wake_up_first)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:829(get_code)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1243(_find_spec)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/platform.py:1249(python_implementation)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/platform.py:1145(_sys_version)
     6022    0.001    0.000    0.001    0.000 {method 'move_to_end' of 'collections.OrderedDict' objects}
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1287(find_spec)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1258(_get_spec)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/__init__.py:287(compile)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/__init__.py:330(_compile)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1360(find_spec)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_compiler.py:757(compile)
     5753    0.001    0.000    0.001    0.000 {method 'getrandbits' of '_random.Random' objects}
        2    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/runners.py:58(__enter__)
        4    0.000    0.000    0.001    0.000 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/asyncio/runners.py:140(_lazy_init)
        1    0.000    0.000    0.001    0.001 /usr/local/Cellar/python@3.14/3.14.0_1/Frameworks/Python.framework/Versions/3.14/lib/python3.14/re/_parser.py:963(parse)
